Year,Word,ManSyl,length
2001,Wolfenstein,2,11
2001,Big Brother,3,11
2001,Audiogalaxy,6,11
2001,Nostradamus,4,11
2002,Kobe Bryant,4,11
2002,Tiger Woods,3,11
2002,Hello Kitty,4,11
2002,Santa Claus,3,11
2002,Las Ketchup,3,11
2002,Elijah Wood,4,11
2003,Sailor Moon,3,11
2003,Earthquakes,2,11
2003,Johnny Depp,3,11
2003,Last Minute,3,11
2004,Lamborghini,4,11
2004,Honda Civic,4,11
2004,GE Aviation,6,11
2004,South Korea,4,11
2004,Hilary Duff,4,11
2004,Birkenstock,3,11
2004,Dr. Martens,4,11
2004,Holiday Inn,4,11
2004,Hampton Inn,3,11
2004,Poker Chips,3,11
